"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 03월 31일","59.16","60.45","61.17","58.85","414.16K","-2.30%"
"2021년 03월 30일","60.55","61.96","62.27","59.94","388.19K","-1.64%"
"2021년 03월 29일","61.56","60.93","61.77","59.41","449.36K","0.97%"
"2021년 03월 26일","60.97","58.48","61.36","58.32","472.00K","4.12%"
"2021년 03월 25일","58.56","60.80","60.86","57.44","580.11K","-4.28%"
"2021년 03월 24일","61.18","57.40","61.34","57.29","566.29K","5.92%"
"2021년 03월 23일","57.76","61.28","61.35","57.25","712.32K","-6.16%"
"2021년 03월 22일","61.55","61.55","61.90","60.39","28.26K","0.21%"
"2021년 03월 19일","61.42","59.56","61.72","58.94","84.17K","2.37%"
"2021년 03월 18일","60.00","64.42","64.82","58.20","143.60K","-7.12%"
"2021년 03월 17일","64.60","64.75","65.34","63.60","254.72K","-0.31%"
"2021년 03월 16일","64.80","65.33","65.43","63.80","317.54K","-0.90%"
"2021년 03월 15일","65.39","65.56","66.40","64.13","378.01K","-0.34%"
"2021년 03월 12일","65.61","65.96","66.24","65.41","321.71K","-0.62%"
"2021년 03월 11일","66.02","64.70","66.21","64.54","441.06K","2.45%"
"2021년 03월 10일","64.44","63.84","64.96","63.13","498.49K","0.67%"
"2021년 03월 09일","64.01","64.73","65.98","63.63","554.56K","-1.60%"
"2021년 03월 08일","65.05","66.68","67.98","64.57","533.38K","-1.57%"
"2021년 03월 05일","66.09","64.16","66.42","63.82","573.17K","3.54%"
"2021년 03월 04일","63.83","61.08","64.86","60.52","694.63K","4.16%"
"2021년 03월 03일","61.28","59.55","61.99","59.24","465.31K","2.56%"
"2021년 03월 02일","59.75","60.23","61.21","59.38","464.13K","-1.47%"
"2021년 03월 01일","60.64","61.95","62.92","59.96","456.68K","-1.40%"
"2021년 02월 26일","61.50","63.46","63.57","61.34","472.72K","-3.20%"
"2021년 02월 25일","63.53","63.39","63.81","62.65","510.36K","0.49%"
"2021년 02월 24일","63.22","61.29","63.51","60.97","489.93K","2.51%"
"2021년 02월 23일","61.67","62.16","63.00","60.67","570.68K","0.29%"
"2021년 02월 22일","61.49","58.88","61.84","58.82","37.04K","3.80%"
"2021년 02월 19일","59.24","60.20","60.29","58.59","102.43K","-2.12%"
"2021년 02월 18일","60.52","61.68","62.26","59.79","132.04K","-1.01%"
"2021년 02월 17일","61.14","60.24","61.73","59.43","335.42K","1.82%"
"2021년 02월 16일","60.05","59.98","60.95","59.33","602.33K","-0.07%"
"2021년 02월 15일","60.09","60.36","60.95","59.96","-","-0.46%"
"2021년 02월 14일","60.37","60.01","60.75","60.01","-","1.51%"
"2021년 02월 12일","59.47","57.94","59.82","57.41","480.82K","2.11%"
"2021년 02월 11일","58.24","58.40","58.71","57.84","380.45K","-0.75%"
"2021년 02월 10일","58.68","58.45","58.91","58.08","457.54K","0.55%"
"2021년 02월 09일","58.36","58.11","58.62","57.27","514.70K","0.67%"
"2021년 02월 08일","57.97","57.06","58.14","57.00","399.72K","1.97%"
"2021년 02월 05일","56.85","56.46","57.29","56.43","400.83K","1.10%"
"2021년 02월 04일","56.23","55.96","56.58","55.30","381.40K","0.97%"
"2021년 02월 03일","55.69","55.05","56.33","54.81","448.69K","1.70%"
"2021년 02월 02일","54.76","53.48","55.26","53.45","463.72K","2.26%"
"2021년 02월 01일","53.55","51.99","53.74","51.64","416.07K","2.59%"
"2021년 01월 29일","52.20","52.15","53.25","51.93","410.91K","-0.27%"
"2021년 01월 28일","52.34","52.65","53.58","52.04","411.41K","-0.96%"
"2021년 01월 27일","52.85","52.76","53.30","51.85","442.38K","0.46%"
"2021년 01월 26일","52.61","52.91","53.25","52.29","314.54K","-0.30%"
"2021년 01월 25일","52.77","52.17","52.95","51.82","349.08K","0.96%"
"2021년 01월 22일","52.27","53.10","53.16","51.44","437.48K","-1.62%"
"2021년 01월 21일","53.13","52.93","53.41","52.75","352.40K","-0.21%"
"2021년 01월 20일","53.24","53.13","53.79","53.05","37.84K","0.49%"
"2021년 01월 19일","52.98","52.00","53.13","51.76","125.96K","1.18%"
"2021년 01월 18일","52.36","52.20","52.61","51.83","-","0.31%"
"2021년 01월 17일","52.20","52.09","52.38","52.09","-","-0.31%"
"2021년 01월 15일","52.36","53.80","53.83","51.83","165.67K","-2.26%"
"2021년 01월 14일","53.57","52.84","53.75","52.24","390.09K","1.25%"
"2021년 01월 13일","52.91","53.31","53.93","52.58","429.90K","-0.56%"
"2021년 01월 12일","53.21","52.18","53.45","52.07","400.20K","1.84%"
"2021년 01월 11일","52.25","52.58","52.70","51.50","394.82K","0.02%"
"2021년 01월 08일","52.24","50.93","52.75","50.81","499.42K","2.77%"
"2021년 01월 07일","50.83","50.53","51.28","50.39","369.29K","0.40%"
"2021년 01월 06일","50.63","49.82","50.94","49.48","509.37K","1.40%"
"2021년 01월 05일","49.93","47.38","50.20","47.24","643.19K","4.85%"
"2021년 01월 04일","47.62","48.40","49.83","47.18","528.53K","-1.85%"
"2020년 12월 31일","48.52","48.35","48.58","47.77","181.89K","0.25%"
"2020년 12월 30일","48.40","48.13","48.66","47.61","266.96K","0.83%"
"2020년 12월 29일","48.00","47.72","48.35","47.68","213.78K","0.80%"
"2020년 12월 28일","47.62","48.23","48.96","47.50","238.46K","-1.26%"
"2020년 12월 24일","48.23","48.09","48.62","47.56","167.39K","0.23%"
"2020년 12월 23일","48.12","46.79","48.50","46.16","344.31K","2.34%"
"2020년 12월 22일","47.02","47.93","47.96","46.60","295.74K","-1.51%"
"2020년 12월 21일","47.74","48.54","48.61","46.18","27.96K","-2.77%"
"2020년 12월 18일","49.10","48.43","49.28","48.10","83.71K","1.53%"
"2020년 12월 17일","48.36","47.85","48.59","47.81","96.54K","1.13%"
"2020년 12월 16일","47.82","47.60","47.94","47.17","275.33K","0.42%"
"2020년 12월 15일","47.62","46.99","47.73","46.54","311.17K","1.34%"
"2020년 12월 14일","46.99","46.73","47.44","45.69","403.54K","0.90%"
"2020년 12월 11일","46.57","46.97","47.29","46.34","367.31K","-0.45%"
"2020년 12월 10일","46.78","45.69","47.74","45.52","447.53K","2.77%"
"2020년 12월 09일","45.52","45.60","46.24","44.95","434.98K","-0.18%"
"2020년 12월 08일","45.60","45.66","45.93","45.14","332.64K","-0.35%"
"2020년 12월 07일","45.76","46.15","46.54","45.36","348.87K","-1.08%"
"2020년 12월 04일","46.26","45.64","46.68","45.61","335.45K","1.36%"
"2020년 12월 03일","45.64","44.99","45.84","44.66","350.77K","0.80%"
"2020년 12월 02일","45.28","44.38","45.92","43.92","368.85K","1.64%"
"2020년 12월 01일","44.55","45.08","45.70","44.12","314.92K","-1.74%"
"2020년 11월 30일","45.34","45.34","45.80","44.42","370.76K","-0.42%"
"2020년 11월 27일","45.53","45.90","46.09","44.55","365.13K","1.22%"
"2020년 11월 26일","44.98","45.77","46.09","44.73","-","-1.60%"
"2020년 11월 25일","45.71","44.82","46.26","44.73","417.18K","1.78%"
"2020년 11월 24일","44.91","42.84","45.20","42.82","418.53K","4.30%"
"2020년 11월 23일","43.06","42.46","43.36","42.29","300.72K","2.16%"
"2020년 11월 20일","42.15","41.70","42.32","41.51","29.78K","0.98%"
"2020년 11월 19일","41.74","41.61","41.98","41.08","88.14K","-0.19%"
"2020년 11월 18일","41.82","41.35","42.46","41.08","107.01K","0.94%"
"2020년 11월 17일","41.43","41.44","41.69","40.57","243.68K","0.22%"
"2020년 11월 16일","41.34","40.17","42.09","40.15","378.79K","3.02%"
"2020년 11월 13일","40.13","40.94","40.94","40.06","338.19K","-2.41%"
"2020년 11월 12일","41.12","41.47","42.19","40.87","401.03K","-0.80%"
"2020년 11월 11일","41.45","41.79","43.06","41.32","443.77K","0.22%"
"2020년 11월 10일","41.36","39.91","41.84","39.41","457.05K","2.66%"
"2020년 11월 09일","40.29","37.34","41.33","37.16","622.92K","8.48%"
"2020년 11월 06일","37.14","38.54","38.61","37.06","411.03K","-4.25%"
"2020년 11월 05일","38.79","39.17","39.35","38.27","298.37K","-0.92%"
"2020년 11월 04일","39.15","38.15","39.25","37.26","437.00K","3.96%"
"2020년 11월 03일","37.66","37.03","38.32","36.57","410.61K","2.31%"
"2020년 11월 02일","36.81","35.24","37.15","33.64","489.20K","2.85%"
