Date,ETF,WTI,ExchangeRate,Gold,Pork,ITA
2020-11-02,8045,36.81,1135.5,68650,2062.0,77.44
2020-11-03,8120,37.66,1133.0,69010,2061.0,79.91
2020-11-04,8165,39.15,1140.0,69400,2039.0,79.87
2020-11-05,8335,38.79,1127.5,69250,2186.0,80.8
2020-11-06,8355,37.14,1122.5,69930,2181.0,80.73
2020-11-09,8300,40.29,1115.5,70140,2185.0,86.34
2020-11-10,8300,41.36,1116.0,67590,2178.0,89.22
2020-11-11,8575,41.45,1113.0,67180,2176.0,87.63
2020-11-12,8460,41.12,1115.0,67050,2130.0,86.53
2020-11-13,8345,40.13,1114.0,67430,2036.0,89.37
2020-11-16,8435,41.34,1107.0,67420,2120.0,91.9
2020-11-17,8525,41.43,1106.0,67140,2116.0,92.58
2020-11-18,8565,41.82,1104.0,66710,2143.0,92.3
2020-11-19,8590,41.74,1117.0,66770,2169.0,92.75
2020-11-20,8580,42.15,1117.0,66900,2160.0,91.06
2020-11-23,8655,43.06,1112.0,66950,2188.0,93.47
2020-11-24,8600,44.91,1110.5,65410,2184.0,95.78
2020-11-25,8710,45.71,1107.5,64400,2190.0,95.19
2020-11-27,8660,45.53,1104.5,64190,2069.0,94.67
2020-11-30,8675,45.34,1107.5,63070,2111.0,92.41
2020-12-01,8500,44.55,1108.0,63500,2050.0,93.09
2020-12-02,8380,45.28,1102.5,64160,2048.0,93.97
2020-12-03,8450,45.64,1094.0,64600,2165.0,95.54
2020-12-07,8335,45.76,1086.5,64040,2185.0,96.49
2020-12-08,8320,45.6,1085.5,65180,2189.0,96.94
2020-12-09,8280,45.52,1085.5,64940,2199.0,96.42
2020-12-10,8415,46.78,1089.0,64250,2170.0,96.14
2020-12-11,8470,46.57,1092.0,64370,2170.0,96.23
2020-12-14,8590,46.99,1092.0,64350,2180.0,94.61
2020-12-15,8505,47.62,1094.5,64630,2181.0,95.45
2020-12-16,8560,47.82,1092.0,65340,2169.0,94.3
2020-12-17,8605,48.36,1093.5,65740,2163.0,93.84
2020-12-18,8700,49.1,1098.5,66530,2163.0,94.2
2020-12-21,8815,47.74,1104.0,67500,2168.0,93.49
2020-12-22,8810,47.02,1107.0,66690,2168.0,93.19
2020-12-23,8870,48.12,1107.0,66420,2177.0,94.81
2020-12-24,9020,48.23,1103.5,66530,2119.0,94.19
2020-12-28,9040,47.62,1096.0,66470,2121.0,94.34
2020-12-29,9015,48.0,1093.5,65920,2123.0,93.88
2020-12-30,9135,48.4,1087.5,65740,2119.0,94.76
2021-01-04,9625,47.62,1083.0,66910,2149.0,90.82
2021-01-05,9545,49.93,1089.5,67890,2149.0,92.89
2021-01-06,9785,50.63,1087.0,67880,2140.0,93.84
2021-01-07,9715,50.83,1090.5,67330,2108.0,93.66
